"","V1","V2"
"Mean_fBody_Acc_Mag",1,-0.585962696268539
"Mean_fBody_Acc_X",2,-0.622761658493734
"Mean_fBody_Acc_Y",3,-0.53749328145871
"Mean_fBody_Acc_Z",4,-0.665033506271952
"Mean_fBody_AccJerk_Mag",5,-0.620789916331592
"Mean_fBody_AccJerk_X",6,-0.656713524546605
"Mean_fBody_AccJerk_Y",7,-0.628961179980356
"Mean_fBody_AccJerk_Z",8,-0.743608246170053
"Mean_fBody_Gyro_Mag",9,-0.697411069729937
"Mean_fBody_Gyro_X",10,-0.672094306818974
"Mean_fBody_Gyro_Y",11,-0.70621663959074
"Mean_fBody_Gyro_Z",12,-0.644192752866115
"Mean_fBody_GyroJerk_Mag",13,-0.779767633083527
"Mean_tBody_Acc_Mag",14,-0.54822165976717
"Mean_tBody_Acc_X",15,0.274347260646063
"Mean_tBody_Acc_Y",16,-0.0177434918458972
"Mean_tBody_Acc_Z",17,-0.108925032737064
"Mean_tBody_AccJerk_Mag",18,-0.649417950650692
"Mean_tBody_AccJerk_X",19,0.0789381220355816
"Mean_tBody_AccJerk_Y",20,0.0079481069090025
"Mean_tBody_AccJerk_Z",21,-0.00467469823628666
"Mean_tBody_Gyro_Mag",22,-0.60524856977632
"Mean_tBody_Gyro_X",23,-0.0309824871713436
"Mean_tBody_Gyro_Y",24,-0.0747194855994359
"Mean_tBody_Gyro_Z",25,0.088357304227173
"Mean_tBody_GyroJerk_Mag",26,-0.762137610987416
"Mean_tBody_GyroJerk_X",27,-0.0967092754729682
"Mean_tBody_GyroJerk_Y",28,-0.0423181079782632
"Mean_tBody_GyroJerk_Z",29,-0.0548303497968374
"Mean_tGravity_Acc_Mag",30,-0.54822165976717
"Mean_tGravity_Acc_X",31,0.669226222373046
"Mean_tGravity_Acc_Y",32,0.00403879092060517
"Mean_tGravity_Acc_Z",33,0.0921508600211059
